unique_tree_id,id_parcela,monitoreo,monitoreo_label,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,crecimiento_altura,crecimiento_copa,altura_actual,copa_actual
Guayabal_P3_I33.0,3,3,M3,Lauraceae,Persea caerulea,Aguacatillo,12,2814,4736189.984271,2199826.786369,0.41,0.2,1,0,0,0,1,0,1,0,0,0.0,0.06,0.41,0.26
Guayabal_P3_I33.0,3,4,M4,Lauraceae,Persea caerulea,Aguacatillo,18,2814,4736189.984271,2199826.786369,0.41,0.26,1,0,0,0,1,0,1,0,0,0.03000000000000003,0.0,0.44,0.26
Guayabal_P3_I34.0,3,2,M2,Bignoniaceae,Delostoma integrifolium,Navajuelo,6,2814,4736191.24103,2199828.969193,0.36,0.1,1,0,0,1,0,0,1,0,0,0.0,0.0,0.36,0.1
Guayabal_P3_I34.0,3,3,M3,Bignoniaceae,Delostoma integrifolium,Navajuelo,12,2814,4736191.24103,2199828.969193,0.36,0.1,1,0,0,1,0,0,1,0,0,0.0,0.13,0.36,0.23
Guayabal_P3_I34.0,3,4,M4,Bignoniaceae,Delostoma integrifolium,Navajuelo,18,2814,4736191.24103,2199828.969193,0.36,0.23,1,0,0,1,0,0,1,0,0,0.06,0.1,0.42,0.33
Guayabal_P3_I35.0,3,2,M2,Lauraceae,Persea caerulea,Aguacatillo,6,2814,4736193.622329,2199829.498397,0.25,0.08,1,0,0,0,1,0,1,0,0,0.3,0.0,0.55,0.08
Guayabal_P3_I35.0,3,3,M3,Lauraceae,Persea caerulea,Aguacatillo,12,2814,4736193.622329,2199829.498397,0.55,0.08,1,0,0,0,1,0,1,0,0,0.0,0.7200000000000001,0.55,0.8
Guayabal_P3_I35.0,3,4,M4,Lauraceae,Persea caerulea,Aguacatillo,18,2814,4736193.622329,2199829.498397,0.55,0.8,1,0,0,0,1,0,1,0,0,0.0,0.04999999999999993,0.55,0.85
Guayabal_P3_I36.0,3,2,M2,Fabaceae,Inga punctata,Guamo,6,2814,4736196.334319,2199829.696822,0.25,0.1,0,0,1,0,1,0,1,0,0,0.28,0.07999999999999999,0.53,0.18
Guayabal_P3_I36.0,3,3,M3,Fabaceae,Inga punctata,Guamo,12,2814,4736196.334319,2199829.696822,0.53,0.18,1,0,0,0,1,0,1,0,0,0.0,0.21,0.53,0.39
Guayabal_P3_I36.0,3,4,M4,Fabaceae,Inga punctata,Guamo,18,2814,4736196.334319,2199829.696822,0.53,0.39,1,0,0,0,1,0,1,0,0,0.1599999999999999,0.3099999999999999,0.69,0.7
Guayabal_P3_I37.0,3,2,M2,Solanaceae,Solanum sycophanta,Tachuelo,6,2814,4736198.71554,2199830.093667,0.24,0.15,1,0,0,0,1,0,1,0,0,0.04000000000000004,0.02000000000000002,0.28,0.17
Guayabal_P3_I37.0,3,3,M3,Solanaceae,Solanum sycophanta,Tachuelo,12,2814,4736198.71554,2199830.093667,0.28,0.17,1,0,0,0,1,0,1,0,0,0.02999999999999997,0.09,0.31,0.26
Guayabal_P3_I37.0,3,4,M4,Solanaceae,Solanum sycophanta,Tachuelo,18,2814,4736198.71554,2199830.093667,0.31,0.26,1,0,0,0,1,0,1,0,0,0.09000000000000002,0.12,0.4,0.38
Guayabal_P3_I38.0,3,2,M2,Bignoniaceae,Delostoma integrifolium,Navajuelo,6,2814,4736201.427509,2199830.490623,0.37,0.12,1,0,0,1,0,0,1,0,0,-0.13,0.0,0.24,0.12
Guayabal_P3_I38.0,3,3,M3,Bignoniaceae,Delostoma integrifolium,Navajuelo,12,2814,4736201.427509,2199830.490623,0.24,0.12,1,0,0,1,0,0,1,0,0,0.02000000000000002,0.02000000000000002,0.26,0.14
Guayabal_P3_I38.0,3,4,M4,Bignoniaceae,Delostoma integrifolium,Navajuelo,18,2814,4736201.427509,2199830.490623,0.26,0.14,1,0,0,1,0,0,1,0,0,0.08000000000000002,0.06,0.34,0.2
Guayabal_P3_I39.0,3,2,M2,Lauraceae,Persea caerulea,Aguacatillo,6,2814,4736204.073414,2199830.622874,0.25,0.1,1,0,0,0,1,0,1,0,0,0.28,0.03,0.53,0.13
Guayabal_P3_I39.0,3,3,M3,Lauraceae,Persea caerulea,Aguacatillo,12,2814,4736204.073414,2199830.622874,0.53,0.13,1,0,0,0,1,0,1,0,0,0.03000000000000003,0.01000000000000001,0.56,0.14
Guayabal_P3_I39.0,3,4,M4,Lauraceae,Persea caerulea,Aguacatillo,18,2814,4736204.073414,2199830.622874,0.56,0.14,1,0,0,0,1,0,1,0,0,0.0,0.01999999999999999,0.56,0.16
Guayabal_P3_I4.0,3,2,M2,Asteraceae,Montanoa quadrangularis,Arboloco,6,2814,4736209.717036,2199828.322576,0.2,0.6,1,0,0,1,0,0,1,0,0,0.08999999999999997,0.0,0.29,0.6
Guayabal_P3_I4.0,3,3,M3,Asteraceae,Montanoa quadrangularis,Arboloco,12,2814,4736209.717036,2199828.322576,0.29,0.6,1,0,0,1,0,0,1,0,0,0.24,-0.07999999999999996,0.53,0.52
Guayabal_P3_I4.0,3,4,M4,Asteraceae,Montanoa quadrangularis,Arboloco,18,2814,4736209.717036,2199828.322576,0.53,0.52,1,0,0,1,0,0,1,0,0,0.2999999999999999,0.21,0.8299999999999998,0.73
Guayabal_P3_I40.0,3,2,M2,Fabaceae,Inga punctata,Guamo,6,2814,4736206.719212,2199830.622908,0.25,0.12,0,0,1,0,1,0,1,0,0,0.15,0.0,0.4,0.12
Guayabal_P3_I40.0,3,3,M3,Fabaceae,Inga punctata,Guamo,12,2814,4736206.719212,2199830.622908,0.4,0.12,0,0,1,0,1,0,1,0,0,0.02999999999999997,0.0,0.43,0.12
Guayabal_P3_I40.0,3,4,M4,Fabaceae,Inga punctata,Guamo,18,2814,4736206.719212,2199830.622908,0.43,0.12,1,0,0,0,1,0,1,0,0,0.01000000000000001,0.02000000000000002,0.44,0.14
Guayabal_P3_I41.0,3,2,M2,Solanaceae,Solanum sycophanta,Tachuelo,6,2814,4736209.100441,2199831.085874,0.22,0.12,0,0,1,0,1,0,1,0,0,0.0,0.03,0.22,0.15
Guayabal_P3_I41.0,3,3,M3,Solanaceae,Solanum sycophanta,Tachuelo,12,2814,4736209.100441,2199831.085874,0.22,0.15,1,0,0,0,1,0,1,0,0,0.06999999999999998,0.17,0.29,0.32
Guayabal_P3_I41.0,3,4,M4,Solanaceae,Solanum sycophanta,Tachuelo,18,2814,4736209.100441,2199831.085874,0.29,0.32,1,0,0,0,1,0,1,0,0,0.13,0.08000000000000002,0.42,0.4
Guayabal_P3_I42.0,3,2,M2,Monimiaceae,Mollinedia tomentosa,Molinedia,6,2814,4736211.137748,2199829.617458,0.42,0.16,0,1,0,0,0,1,1,0,0,0.06,-0.14,0.48,0.01999999999999999
