monitoreo,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,altura_actual,copa_actual
3,8,13,13,12,2814,4736206.719212,2199830.622908,0.4,0.12,0,0,1,0,1,0,1,0,0,0.43,0.12
4,8,13,13,18,2814,4736206.719212,2199830.622908,0.43,0.12,1,0,0,0,1,0,1,0,0,0.44,0.14
2,22,25,28,6,2814,4736209.100441,2199831.085874,0.22,0.12,0,0,1,0,1,0,1,0,0,0.22,0.15
3,22,25,28,12,2814,4736209.100441,2199831.085874,0.22,0.15,1,0,0,0,1,0,1,0,0,0.29,0.32
4,22,25,28,18,2814,4736209.100441,2199831.085874,0.29,0.32,1,0,0,0,1,0,1,0,0,0.42,0.4
2,16,16,17,6,2814,4736211.137748,2199829.617458,0.42,0.16,0,1,0,0,0,1,1,0,0,0.48,0.0199999999999999
2,7,2,29,6,2814,4736212.893831,2199828.188535,0.22,0.15,1,0,0,1,0,0,1,0,0,0.25,0.15
3,7,2,29,12,2814,4736212.893831,2199828.188535,0.25,0.15,1,0,0,1,0,0,1,0,0,0.25,0.18
4,7,2,29,18,2814,4736212.893831,2199828.188535,0.25,0.18,1,0,0,1,0,0,1,0,0,0.34,0.2
2,1,17,2,6,2814,4736214.063707,2199830.109529,0.2,0.17,1,0,0,1,0,0,1,0,0,0.48,0.26
3,1,17,2,12,2814,4736214.063707,2199830.109529,0.48,0.26,1,0,0,1,0,0,1,0,0,0.52,0.26
4,1,17,2,18,2814,4736214.063707,2199830.109529,0.52,0.26,1,0,0,1,0,0,1,0,0,0.57,0.26
2,1,17,2,6,2814,4736212.146175,2199830.646519,0.2,0.15,1,0,0,1,0,0,1,0,0,0.31,0.2
3,1,17,2,12,2814,4736212.146175,2199830.646519,0.31,0.2,1,0,0,1,0,0,1,0,0,0.42,0.41
4,1,17,2,18,2814,4736212.146175,2199830.646519,0.42,0.41,1,0,0,1,0,0,1,0,0,0.53,0.41
2,17,18,20,6,2814,4736204.325467,2199832.631006,0.32,0.16,0,0,1,1,0,0,1,0,0,0.46,0.32
3,17,18,20,12,2814,4736204.325467,2199832.631006,0.46,0.32,1,0,0,1,0,0,1,0,0,0.46,0.42
4,17,18,20,18,2814,4736204.325467,2199832.631006,0.46,0.42,1,0,0,1,0,0,1,0,0,0.51,0.69
2,1,17,2,6,2814,4736202.257381,2199831.929566,0.2,0.12,0,0,1,1,0,0,1,0,0,0.37,0.21
3,1,17,2,12,2814,4736202.257381,2199831.929566,0.37,0.21,1,0,0,1,0,0,1,0,0,0.49,0.4599999999999999
4,1,17,2,18,2814,4736202.257381,2199831.929566,0.49,0.46,1,0,0,1,0,0,1,0,0,0.66,0.54
2,1,17,2,6,2814,4736200.31871,2199832.099149,0.2,0.13,1,0,0,1,0,0,1,0,0,0.5,0.35
3,1,17,2,12,2814,4736200.31871,2199832.099149,0.5,0.35,1,0,0,1,0,0,1,0,0,0.6799999999999999,0.4599999999999999
4,1,17,2,18,2814,4736200.31871,2199832.099149,0.68,0.46,1,0,0,1,0,0,1,0,0,0.91,0.55
2,2,6,18,6,2814,4736198.284013,2199831.512464,0.31,0.13,1,0,0,1,0,0,1,0,0,0.41,0.13
3,2,6,18,12,2814,4736198.284013,2199831.512464,0.41,0.13,1,0,0,1,0,0,1,0,0,0.48,0.28
4,2,6,18,18,2814,4736198.284013,2199831.512464,0.48,0.28,1,0,0,1,0,0,1,0,0,0.48,0.38
2,0,12,7,6,2814,4736207.975992,2199829.233875,0.22,0.12,1,0,0,0,0,1,1,0,0,0.3399999999999999,0.14
3,0,12,7,12,2814,4736207.975992,2199829.233875,0.34,0.14,1,0,0,0,0,1,1,0,0,0.36,0.22
4,0,12,7,18,2814,4736207.975992,2199829.233875,0.36,0.22,1,0,0,0,0,1,1,0,0,0.36,0.22
2,1,27,5,6,2814,4736196.466719,2199831.001057,0.2,0.13,0,0,1,1,0,0,1,0,0,0.48,0.42
3,1,27,5,12,2814,4736196.466719,2199831.001057,0.48,0.42,1,0,0,1,0,0,1,0,0,1.6,0.8899999999999999
4,1,27,5,18,2814,4736196.466719,2199831.001057,1.6,0.89,1,0,0,1,0,0,1,0,0,2.15,0.96
2,1,27,5,6,2814,4736194.296597,2199830.919754,0.2,0.13,1,0,0,1,0,0,1,0,0,0.47,0.38
3,1,27,5,12,2814,4736194.296597,2199830.919754,0.47,0.38,1,0,0,1,0,0,1,0,0,1.42,1.0
4,1,27,5,18,2814,4736194.296597,2199830.919754,1.42,1.0,1,0,0,1,0,0,1,0,0,2.0,1.2
2,1,17,2,6,2814,4736192.244342,2199830.853675,0.2,0.15,0,0,1,1,0,0,1,0,0,0.5,0.65
3,1,17,2,12,2814,4736192.244342,2199830.853675,0.5,0.65,1,0,0,1,0,0,1,0,0,1.52,0.95
